token_addr_idx,top1_holder_ratio,pair_holder_ratio,top10_holder_ratio,top20_holder_ratio,token_creator_holder_ratio,price_ratio_realized_vol,price_ratio_range,reserve_base_realized_vol,reserve_quote_realized_vol,swap_buy_share,swap_net_flow_ratio,swap_direction_switch_freq
121,0.8483,0.0,0.9508,0.9863999999999999,0.0,0.06172353125620767,3.371513445333,0.013455410968849509,0.018248254431736267,0.4512381871215799,-0.09752362575684012,0.4793577981651376
122,0.6797,0.0,1.0001,1.0001,0.1,0.0006047996681279866,0.003728587430000374,34.926682454936824,40.874680982180585,0.0,0.0,0.0
123,0.9995,0.0002,1.0,1.0,0.9995,0.022128841615465872,0.6253208281000013,0.01205009603340472,0.13664010416699107,0.23141700703150708,-0.537165985936986,0.3333333333333333
124,0.9338,0.0,0.9934999999999999,1.0000999999999998,0.9338,0.031484046678821306,3.567861306000001,0.6973675329772729,4.981189055998354,0.12612740679176315,-0.7477451864164736,0.25
125,0.9367,0.0,1.0,1.0,0.0,0.034690023537247316,1.5922703424400009,0.02911576769690045,0.19441942028557122,0.5608985393726297,0.12179707874525936,0.5833333333333334
126,0.9999,0.0,1.0,1.0,0.9999,0.0028347930307168483,0.07682606712000073,12.363242967005387,15.357134023610172,0.38269646441893157,-0.23460707116213694,0.8
127,0.9969,0.0,0.9985999999999999,0.9996,0.9969,6.877417349176669,50.6431860253,6.464524407493447,8.012151123902207,0.1636440492755066,-0.6727119014489867,0.2631578947368421
128,0.9863,0.0,1.0,1.0,0.9863,0.019211467733355754,1.3741460542999988,6.615405249466314,9.319773285058028,0.45725984199987635,-0.08548031600024734,0.32432432432432434
129,1.0,0.0,1.0,1.0,1.0,0.06601364975858069,2.1952225626999997,10.440735599306949,19.360362000103784,0.399385106393578,-0.20122978721284396,1.0
130,0.5243,0.0093,0.9997999999999999,0.9998999999999999,0.0,0.11242221918994375,2.8607528369799997,0.055768204504463535,0.43206721802735465,0.10483697533278326,-0.7903260493344335,0.3
131,0.9991,0.0,0.9998999999999999,0.9998999999999999,0.9991,0.034063948545796585,1.51435365774,10.026783384200735,12.020900047225384,0.03580935952417352,-0.928381280951653,0.25
132,0.999,0.0,1.0,1.0,0.999,0.19048887330669811,2.23330947046,10.291413320247818,13.390628849552137,0.14142249183207145,-0.717155016335857,1.0
133,0.9,0.0,0.9998999999999999,0.9998999999999999,0.0271,0.0998097876414434,3.4137260188700003,2.1892651068024156,2.762053229542817,0.2382533581677479,-0.5234932836645041,0.21621621621621623
134,0.9942,0.0,0.9999999999999999,0.9999999999999999,0.9942,0.4638994267089851,9.23631519034,7.250943211299751,10.004902579296559,0.35252587815600905,-0.29494824368798195,0.3333333333333333
135,1.0,0.0,1.0,1.0,1.0,0.013134557300306484,0.2998627776999996,0.010132830722284481,0.08343653941104721,0.12439880543086451,-0.7512023891382711,0.5
136,1.0,0.0,1.0,1.0,1.0,0.015595931825016233,0.7147430188900001,7.337442601819691,8.666293471043415,0.07596107785719584,-0.8480778442856084,0.10526315789473684
137,0.9988,0.0,1.0,1.0,0.9988,12.831635865651014,8.26898820951,11.02758019316672,16.98638039889879,0.2255174829101287,-0.5489650341797426,0.2857142857142857
